bib,age,5k_minutes,gender_F,gender_M,finish_minutes,avg_pace_to_5k
23131,60,25.78,1,0,242.28,11.64
13644,28,27.13,1,0,242.28,11.06
20583,48,26.83,1,0,242.28,11.18
23406,68,27.28,0,1,242.28,11.0
16725,36,25.32,1,0,242.28,11.85
22798,57,27.42,1,0,242.32,10.94
22403,52,27.05,1,0,242.33,11.09
22535,48,27.43,1,0,242.33,10.94
22892,70,28.17,1,0,242.33,10.65
25300,39,27.15,0,1,242.33,11.05
22276,45,26.33,1,0,242.35,11.39
20342,45,27.35,1,0,242.35,10.97
23165,52,28.08,1,0,242.37,10.68
31296,52,29.57,1,0,242.38,10.15
18550,65,25.92,0,1,242.38,11.57
21759,47,27.65,1,0,242.4,10.85
26819,50,29.37,0,1,242.4,10.21
26859,26,27.67,1,0,242.4,10.84
14983,50,27.63,0,1,242.4,10.86
17677,25,26.67,1,0,242.4,11.25
29250,50,29.57,0,1,242.4,10.15
17429,59,25.1,0,1,242.42,11.95
21423,66,26.45,0,1,242.43,11.34
25704,29,27.05,1,0,242.43,11.09
22032,45,28.9,1,0,242.45,10.38
21649,51,26.32,1,0,242.45,11.4
30313,32,28.27,1,0,242.45,10.61
27033,22,28.07,0,1,242.45,10.69
29787,32,27.27,0,1,242.47,11.0
